id,superid,impcost,impcost_adj,payback,reference_year,reference_ppi,fy,arc2,conserved,saved
AM0196,AM019605,349.0,565.38,0.91361256544503,2024,216.87,1994,2.4133,10551.0,382.0
AM0218,AM021803,230.0,457.7,1.0952380952381,2024,262.98,1994,2.7447,6741.0,210.0
AM0220,AM022005,6250.0,12437.5,0.48393341076268,2024,262.98,1994,2.7135,461313.0,12915.0
AM0244,AM024403,3800.0,7372.0,0.87557603686636,2024,262.98,1995,2.7145,144490.0,4340.0
AM0262,AM026205,270.0,407.7,0.64285714285714,2024,243.25,1996,2.7142,4689.0,210.0
AM0283,AM028305,1180.0,1781.8,1.0350877192982,2024,243.25,1996,2.7142,9086.0,200.0
AM0298,AM029807,1000.0,1380.0,0.8695652173913,2024,189.87,1997,2.2511,52169.0,1150.0
AM0301,AM030105,480.0,724.8,0.80672268907563,2024,243.25,1997,2.7142,2638.0,70.0
AM0304,AM030409,10.0,22.7,0.090909090909091,2024,278.19,1997,2.7122,879.0,30.0
AM0322,AM032207,1025.0,1547.75,0.70689655172414,2024,243.25,1998,2.7142,19930.0,1370.0
AM0329,AM032909,600.0,906.0,6.6666666666667,2024,243.25,1998,2.7142,2345.0,50.0
AM0334,AM033406,35.0,77.0,0.016908212560386,2024,278.19,1998,2.7124,29308.0,1560.0
AM0351,AM035106,860.0,1367.4,1.4700854700855,2024,243.25,1999,2.7142,5862.0,155.0
AM0359,AM035911,90.0,191.7,0.40909090909091,2024,278.19,1999,2.4236,7913.0,220.0
AM0376,AM037608,1030.0,2060.0,1.7166666666667,2024,278.19,2000,2.7133,21981.0,600.0
AM0420,AM042009,2300.0,3519.0,1.5333333333333,2024,239.54,2002,2.7134,73600.0,1500.0
AM0436,AM043609,40.0,60.0,0.057142857142857,2024,239.54,2003,2.7121,8870.0,700.0
AM0469,AM046904,170.0,306.0,0.11643835616438,2024,278.19,2004,2.7124,11000.0,470.0
AM0483,AM048310,160.0,252.8,0.48484848484848,2024,243.25,2005,2.7142,980.0,70.0
AM0492,AM049208,14.0,19.88,0.050909090909091,2024,239.54,2005,2.4231,3560.0,275.0
AM0517,AM051709,500.0,855.0,0.06,2024,278.19,2006,2.2135,860.0,8100.0
AM0522,AM052208,200.0,288.0,0.35,2024,243.25,2007,2.7142,1230.0,130.0
AM0556,AM055611,82.0,112.34,0.78,2024,243.25,2009,2.7142,315.0,33.0
AM0560,AM056008,670.0,917.9,0.45,2024,243.25,2009,2.7142,3680.0,370.0
AM0564,AM056404,22100.0,30719.0,3.66,2024,262.98,2009,2.7145,65700.0,6040.0
AM0584,AM058408,100.0,152.0,0.16,2024,278.19,2010,2.4236,7100.0,280.0
AR0009,AR000905,330.0,580.8,0.0099888004358749,2024,239.54,1993,2.3137,,33037.0
AR0020,AR002006,670.0,1641.5,0.22460610124036,2024,278.19,1994,2.7111,53048.0,2983.0
AR0023,AR002304,8910.0,14434.2,0.9889012208657,2024,216.87,1994,2.4133,165592.0,9010.0
AR0083,AR008306,1000.0,1890.0,0.21519259737465,2024,262.98,1996,2.7231,1387.0,4647.0
AR0094,AR009406,756.0,1428.84,1.0,2024,262.98,1996,2.2628,7620.0,593.0
AR0106,AR010606,17710.0,27627.6,1.618534088832,2024,216.87,1997,2.4133,246190.0,8131.0
AR0124,AR012407,1238.0,1931.28,1.1223934723481,2024,216.87,1997,2.4133,19930.0,1103.0
AR0125,AR012505,150.0,340.5,0.13020833333333,2024,278.19,1997,2.4236,19050.0,530.0
AR0128,AR012806,402.0,912.54,0.42138364779874,2024,278.19,1997,2.6212,12896.0,954.0
AR0152,AR015205,240.0,528.0,0.0625,2024,278.19,1998,2.7111,60375.0,1930.0
AR0156,AR015605,170.0,362.1,0.30141843971631,2024,278.19,1999,2.4236,6155.0,448.0
AR0157,AR015703,875.0,1548.75,0.35904800984817,2024,262.98,1999,2.7261,136284.0,2437.0
AR0182,AR018205,150000.0,309000.0,2.468526289805,2024,427.93,2000,2.2442,24509.0,60765.0
AR0193,AR019304,653.0,1005.62,1.1808318264014,2024,216.87,2000,2.4133,12603.0,457.0
AS0004,AS000404,412.0,692.16,0.30116959064327,2024,243.25,1990,2.7142,23447.0,1368.0
AS0008,AS000809,30000.0,83400.0,1.353485224453,2024,278.19,1990,2.8114,,22165.0
AS0013,AS001304,101.0,169.68,0.31761006289308,2024,243.25,1990,2.7142,3224.0,318.0
AS0044,AS004409,50250.0,133665.0,2.921511627907,2024,278.19,1991,2.8114,,17200.0
AS0046,AS004609,190.0,494.0,0.084745762711864,2024,278.19,1992,2.3131,,2242.0
AS0068,AS006808,900.0,1440.0,0.87378640776699,2024,243.25,1992,2.7142,15240.0,1030.0
